setting,seed,method,accuracy,macro_f1,weighted_f1,n_param_updates,adapt_time_s,mean_forgetting,avg_post_event_rolling_accuracy
no_update,42,no_update,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
no_update,52,no_update,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
no_update,62,no_update,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
full_lora,42,full_retrain,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
full_lora,52,full_retrain,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
full_lora,62,full_retrain,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
oracle,42,oracle,0.5465444287729196,0.3251815375397832,0.5373920392255782,8,103.70896100997925,0.0,0.52
oracle,52,oracle,0.5430183356840621,0.37086516374211365,0.5415152158084147,8,103.96161651611328,0.0,0.5328571428571428
oracle,62,oracle,0.5578279266572638,0.3604541563785766,0.5504151913101571,8,103.6966803073883,0.0,0.54
no_ewc,42,selective,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
no_ewc,52,selective,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
no_ewc,62,selective,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
topk4,42,selective,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
topk4,52,selective,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
topk4,62,selective,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
topk16,42,selective,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
topk16,52,selective,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
topk16,62,selective,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
replay128,42,selective,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
replay128,52,selective,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
replay128,62,selective,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
replay0,42,selective,0.5197461212976022,0.2961011507848445,0.502054063754536,0,0.0,0.0,0.0
replay0,52,selective,0.5275035260930888,0.3075890943329163,0.5162573545061869,0,0.0,0.0,0.0
replay0,62,selective,0.5437235543018336,0.34137943984751057,0.5308479824101486,0,0.0,0.0,0.0
