Method,Accuracy,Macro F1,Weighted F1,Updates,Adapt Time (s)
Oracle,0.8165745856353591,0.5520013499779685,0.8192642073471609,8.0,81.97380264600118
Selective + Replay128,0.7723756906077348,0.571497142023182,0.8245414366030909,8.0,31.0274875164032
Selective,0.6810313075506446,0.479978125241022,0.7208671163839452,8.0,44.11547287305197
Selective (MMD=0.02),0.6810313075506446,0.479978125241022,0.7208671163839452,8.0,44.15975666046143
Selective (No EWC),0.6806629834254144,0.4795493587061035,0.7203175383643462,8.0,44.16029826800028
Selective (Top-k=16),0.6769797421731124,0.4714790633480518,0.7134686530598606,16.0,44.36694018046061
Full LoRA,0.6703499079189686,0.4612076196323387,0.7022636562729261,28.0,44.906163136164345
Selective (Top-k=4),0.6703499079189686,0.4588793027621261,0.7007343664237052,4.0,38.8678613503774
No Update,0.5425545119705341,0.3215073440124936,0.5801651838211007,0.0,0.0
Selective (Replay=0),0.5425414364640884,0.3215002145115159,0.5801600054278593,0.0,0.0
