setting,accuracy,macro_f1,weighted_f1,n_param_updates,adapt_time_s,mean_forgetting,avg_post_event_rolling_accuracy
oracle,0.8165745856353591,0.5520013499779685,0.8192642073471609,8.0,81.97380264600118,0.0,0.7360000000000001
replay128,0.7723756906077348,0.571497142023182,0.8245414366030909,8.0,31.0274875164032,0.0,0.775
selective_ewc,0.6810313075506446,0.479978125241022,0.7208671163839452,8.0,44.115472873051964,0.0,0.5783333333333333
mmd002,0.6810313075506446,0.479978125241022,0.7208671163839452,8.0,44.159756660461426,0.0,0.5783333333333333
no_ewc,0.6806629834254144,0.4795493587061035,0.7203175383643462,8.0,44.16029826800028,0.0,0.58
topk16,0.6769797421731124,0.47147906334805184,0.7134686530598606,16.0,44.36694018046061,0.0,0.5716666666666667
full_lora,0.6703499079189686,0.46120761963233875,0.7022636562729261,28.0,44.906163136164345,0.0,0.56
topk4,0.6703499079189686,0.4588793027621261,0.7007343664237052,4.0,38.8678613503774,0.0,0.6900000000000001
no_update,0.5425545119705341,0.3215073440124936,0.5801651838211007,0.0,0.0,0.0,0.625
replay0,0.5425414364640884,0.32150021451151595,0.5801600054278593,0.0,0.0,0.0,0.6566666666666666
